the top: ST296,99
ST296,99
ST204,98
ST253,97
ST215,96
ST244,95
ST231,93
ST203,92
ST292,91
ST287,90
ST235,89
ST282,89
ST294,89
ST285,89
ST290,88
ST283,85
ST299,85
ST213,84
ST207,84
ST266,84
ST242,84
ST247,83
ST279,81
ST210,81
ST272,81
ST291,81
ST298,80
ST276,80
ST274,79
ST252,79
ST278,79
ST255,78
ST241,78
ST273,77
ST260,77
ST257,77
ST259,77
ST237,76
ST261,76
ST284,76
ST236,76
ST275,75
ST250,75
ST202,75
ST222,75
ST245,74
ST238,74
ST227,74
ST258,73
ST201,73
ST295,73
ST214,73
ST246,73
ST264,73
ST249,72
ST263,72
ST265,71
ST277,71
ST286,71
ST267,71
ST256,70
ST280,70
ST243,70
ST205,70
ST200,69
ST218,69
ST230,69
ST268,68
ST229,68
ST211,68
ST221,68
ST288,67
ST233,67
ST254,67
ST289,66
ST228,65
ST269,65
ST234,65
ST271,64
ST206,63
ST251,63
ST208,63
ST270,63
ST209,63
ST293,62
ST232,62
ST224,62
ST212,61
ST225,61
ST226,61
ST220,61
ST223,61
ST281,60
ST248,59
ST239,59
ST262,58
ST219,56
ST217,55
ST216,52
ST240,51
ST297,35
