    7   11   14   21   22   28   33   35   42
   49   55   56   63   66   70   84   88   91
   99  105  110  112  119  121  126  132  133
  143  147  161  165  168  175  176  182  187
  196  198  203  209  210  217  220  224  238
  245  252  253  259  264  266  273  275  280
  287  294  297  301  315  319  322  329  330
  341  343  350  352  357  363  364  371  374
  392  396  399  406  407  413  418  420  427
  434  440  441  448  451  455  469  473  476
  484  490  495  497  504  506  511  517  518
  528  532  546  550  553  560  561  567  572
  581  583  588  594  595  602  605  609  623
  630  637  638  644  649  651  658  660  665
  672  679  682  686  700  704  707  714  715
  726  728  735  737  742  748  749  756  759
  777  781  784  791  792  798  803  805  812
  819  825  826  833  836  840  854  858  861
  869  875  880  882  889  891  896  902  903
  913  917  931  935  938  945  946  952  957
  966  968  973  979  980  987  990  994
