M100 machine  500    69      34500
M101 machine  510   139      70890
M102 machine  520   209     108680
M103 machine  530   279     147870
M104 machine  540   349     188460
M105 machine  550   419     230450
M106 machine  560   489     273840
M107 machine  570   559     318630
M108 machine  580   629     364820
M109 machine  590   699     412410
M110 machine  600   769     461400
M111 machine  610   839     511790
M112 machine  620   909     563580
M113 machine  630   979     616770
M114 machine  640  1049     671360
M115 machine  650  1119     727350
M116 machine  660  1189     784740
M117 machine  670  1259     843530
M118 machine  680  1329     903720
M119 machine  690  1399     965310
P200 power 1000    70      70000
P201 power 1010   140     141400
P202 power 1020   210     214200
P203 power 1030   280     288400
P204 power 1040   350     364000
P205 power 1050   420     441000
P206 power 1060   490     519400
P207 power 1070   560     599200
P208 power 1080   630     680400
P209 power 1090   700     763000
P210 power 1100   770     847000
P211 power 1110   840     932400
P212 power 1120   910    1019200
P213 power 1130   980    1107400
P214 power 1140  1050    1197000
P215 power 1150  1120    1288000
P216 power 1160  1190    1380400
P217 power 1170  1260    1474200
P218 power 1180  1330    1569400
P219 power 1190  1400    1666000
E300 equipment 1500    71     106500
E301 equipment 1510   141     212910
E302 equipment 1520   211     320720
E303 equipment 1530   281     429930
E304 equipment 1540   351     540540
E305 equipment 1550   421     652550
E306 equipment 1560   491     765960
E307 equipment 1570   561     880770
E308 equipment 1580   631     996980
E309 equipment 1590   701    1114590
E310 equipment 1600   771    1233600
E311 equipment 1610   841    1354010
E312 equipment 1620   911    1475820
E313 equipment 1630   981    1599030
E314 equipment 1640  1051    1723640
E315 equipment 1650  1121    1849650
E316 equipment 1660  1191    1977060
E317 equipment 1670  1261    2105870
E318 equipment 1680  1331    2236080
E319 equipment 1690  1401    2367690
G400 generator 2000    72     144000
G401 generator 2010   142     285420
G402 generator 2020   212     428240
G403 generator 2030   282     572460
G404 generator 2040   352     718080
G405 generator 2050   422     865100
G406 generator 2060   492    1013520
G407 generator 2070   562    1163340
G408 generator 2080   632    1314560
G409 generator 2090   702    1467180
G410 generator 2100   772    1621200
G411 generator 2110   842    1776620
G412 generator 2120   912    1933440
G413 generator 2130   982    2091660
G414 generator 2140  1052    2251280
G415 generator 2150  1122    2412300
G416 generator 2160  1192    2574720
G417 generator 2170  1262    2738540
G418 generator 2180  1332    2903760
G419 generator 2190  1402    3070380
M500 motor 2500    73     182500
M501 motor 2510   143     358930
M502 motor 2520   213     536760
M503 motor 2530   283     715990
M504 motor 2540   353     896620
M505 motor 2550   423    1078650
M506 motor 2560   493    1262080
M507 motor 2570   563    1446910
M508 motor 2580   633    1633140
M509 motor 2590   703    1820770
M510 motor 2600   773    2009800
M511 motor 2610   843    2200230
M512 motor 2620   913    2392060
M513 motor 2630   983    2585290
M514 motor 2640  1053    2779920
M515 motor 2650  1123    2975950
M516 motor 2660  1193    3173380
M517 motor 2670  1263    3372210
M518 motor 2680  1333    3572440
M519 motor 2690  1403    3774070
